number,value,datetime_start,datetime_complete,duration,params_estimator,params_estimator__colsample_bytree,params_estimator__eta,params_estimator__fit_intercept,params_estimator__gamma,params_estimator__learning_rate,params_estimator__loss,params_estimator__max_depth,params_estimator__max_features,params_estimator__min_child_weight,params_estimator__min_samples_leaf,params_estimator__min_samples_split,params_estimator__n_estimators,params_estimator__normalize,params_estimator__reg_alpha,params_estimator__reg_lambda,params_estimator__subsample,params_feature_selector__k,params_preprocessor__categorical__cleaner__strategy,params_preprocessor__categorical__encoder,params_preprocessor__numerical__cleaner__strategy,params_preprocessor__numerical__scaler,state
7,2.974025631717489,2021-07-31 15:34:27.487645,2021-07-31 15:34:30.571583,0 days 00:00:03.083938,AdaBoost,,,,,0.4748986121436372,square,,,,,,250.0,,,,,10,most_frequent,OneHotEncoding,mean,StandardScaler,COMPLETE
2,3.0124810436193186,2021-07-31 15:34:27.475858,2021-07-31 15:34:30.113104,0 days 00:00:02.637246,AdaBoost,,,,,0.2141395517697135,square,,,,,,199.0,,,,,3,most_frequent,OneHotEncoding,mean,None,COMPLETE
1,3.0248056700300223,2021-07-31 15:34:27.472756,2021-07-31 15:34:29.604323,0 days 00:00:02.131567,XGBoost,0.6574348637385584,0.5894628542173163,,0.8507637585090632,,,28.0,,8.0,,,103.0,,0.43948581802269227,0.7241703811828609,0.9006358905835287,1,most_frequent,OneHotEncoding,mean,MinMaxScaler,COMPLETE
5,3.0251226301702205,2021-07-31 15:34:27.483359,2021-07-31 15:34:30.657076,0 days 00:00:03.173717,XGBoost,0.2637756483923638,0.7315689926360358,,0.706785208323473,,,8.0,,8.0,,,53.0,,0.27128696682971143,0.9406935720822078,0.3155980848107813,4,most_frequent,OneHotEncoding,mean,MinMaxScaler,COMPLETE
3,3.028332030109418,2021-07-31 15:34:27.478959,2021-07-31 15:34:30.453194,0 days 00:00:02.974235,LinearRegression,,,True,,,,,,,,,,True,,,,4,most_frequent,OneHotEncoding,median,RobustScaler,COMPLETE
0,3.041037427974574,2021-07-31 15:34:27.469527,2021-07-31 15:34:30.015205,0 days 00:00:02.545678,XGBoost,0.46959117500494296,0.7764381320914073,,0.639219111624387,,,17.0,,9.0,,,224.0,,0.9438350032534403,0.3538383589215901,0.7486451596429509,10,most_frequent,LabelEncoding,median,RobustScaler,COMPLETE
6,3.0416626162184173,2021-07-31 15:34:27.485713,2021-07-31 15:34:30.511586,0 days 00:00:03.025873,RandomForest,,,,,,,5.0,auto,,8.0,2.0,206.0,,,,,3,most_frequent,LabelEncoding,median,MinMaxScaler,COMPLETE
4,3.0522455842939946,2021-07-31 15:34:27.480887,2021-07-31 15:34:30.464093,0 days 00:00:02.983206,XGBoost,0.3549784886570778,0.9667608263391011,,0.8851075365490184,,,20.0,,5.0,,,210.0,,0.4372614183639084,0.6852477727515699,0.6199402461049676,1,most_frequent,LabelEncoding,mean,MinMaxScaler,COMPLETE
8,3.2043457524869177,2021-07-31 15:34:29.608988,2021-07-31 15:34:30.691780,0 days 00:00:01.082792,AdaBoost,,,,,0.20224610324389938,linear,,,,,,114.0,,,,,3,most_frequent,LabelEncoding,mean,RobustScaler,COMPLETE
9,3.718945035444886,2021-07-31 15:34:30.016660,2021-07-31 15:34:30.588180,0 days 00:00:00.571520,LinearRegression,,,True,,,,,,,,,,False,,,,6,most_frequent,LabelEncoding,mean,StandardScaler,COMPLETE
